sourceWidth,sinkWidth,ratio,advectionWeight,diffusionWeight,inputName,stateHash,w0,coherenceLength,coherenceLengthSigma,bandCellsX4,segmentCountX4,meanSegmentWidthX4,bandCellsX8,segmentCountX8,meanSegmentWidthX8,bandCellsX12,segmentCountX12,meanSegmentWidthX12,bandCellsX16,segmentCountX16,meanSegmentWidthX16,bandCellsX20,segmentCountX20,meanSegmentWidthX20,bandCellsX24,segmentCountX24,meanSegmentWidthX24,bandCellsX28,segmentCountX28,meanSegmentWidthX28,bandCellsX32,segmentCountX32,meanSegmentWidthX32,bandCellsX36,segmentCountX36,meanSegmentWidthX36,bandCellsX40,segmentCountX40,meanSegmentWidthX40,bandCellsX44,segmentCountX44,meanSegmentWidthX44,bandCellsX48,segmentCountX48,meanSegmentWidthX48,bandCellsX52,segmentCountX52,meanSegmentWidthX52,bandCellsX56,segmentCountX56,meanSegmentWidthX56,bandCellsX60,segmentCountX60,meanSegmentWidthX60,occupiedPeak,totalCompleted,completionRatio,outOfFieldRatio,densityMax,densityMaxCell,densityMaxExSource,maxStagnation,backflowEvents,criterion2PassCount,criterion2,criterion3Median1TwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints,criterion3,criterion4
3,3,4:1,65536,16384,distributed,46176461,3604480,63,6,50,3,1092266,57,1,3735552,59,2,1933312,61,1,3997696,59,1,3866624,58,1,3801088,58,1,3801088,54,2,1769472,53,1,3473408,54,2,1769472,54,1,3538944,56,3,1223338,53,1,3473408,49,3,1070421,37,3,808277,4066,1977853,53,34,1736,57:32,1736,0,0,9,PASS,696,931,2189,PASS,FAIL
3,3,4:1,65536,16384,detour,94a8c6b8,3735552,63,6,55,3,1201493,58,1,3801088,60,1,3932160,61,1,3997696,61,1,3997696,60,1,3932160,61,2,1998848,59,1,3866624,59,1,3866624,59,1,3866624,59,1,3866624,58,1,3801088,58,1,3801088,57,1,3735552,50,3,1092266,4064,1696499,46,42,1668,4:31,1276,0,0,9,PASS,696,931,2189,PASS,FAIL
3,3,16:1,65536,4096,straight,3a024422,196608,63,63,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,0,0,,165,3460632,93,0,1788,49:32,1788,0,0,9,PASS,751,815,2109,FAIL,FAIL
3,3,16:1,65536,4096,distributed,de42f5eb,4063232,63,6,61,2,1998848,62,1,4063232,62,1,4063232,63,1,4128768,62,1,4063232,63,1,4128768,63,1,4128768,62,1,4063232,62,1,4063232,62,1,4063232,63,1,4128768,62,1,4063232,63,1,4128768,62,1,4063232,58,1,3801088,4046,2053053,55,29,1760,57:32,1760,0,0,9,PASS,751,815,2109,FAIL,FAIL
3,3,16:1,65536,4096,detour,32e3565f,4194304,63,6,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,64,1,4194304,64,1,4194304,63,1,4128768,62,1,4063232,64,1,4194304,58,1,3801088,4039,1760199,47,36,1668,4:31,1284,0,0,9,PASS,751,815,2109,FAIL,FAIL
3,5,4:1,65536,16384,straight,a446110b,196608,63,63,3,1,196608,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,0,0,,278,3459294,93,0,1704,49:32,1704,0,0,7,FAIL,866,665,1143,FAIL,FAIL
3,5,4:1,65536,16384,distributed,4f6719f7,3604480,63,6,48,2,1572864,56,2,1835008,59,1,3866624,60,1,3932160,60,2,1966080,58,1,3801088,57,1,3735552,55,2,1802240,54,1,3538944,54,3,1179648,53,2,1736704,54,2,1769472,54,1,3538944,51,2,1671168,32,4,524288,4066,2009478,54,33,1728,57:32,1728,0,0,7,FAIL,866,665,1143,FAIL,FAIL
3,5,4:1,65536,16384,detour,66e1e94e,3801088,63,6,57,1,3735552,58,1,3801088,60,1,3932160,60,1,3932160,62,1,4063232,61,1,3997696,60,2,1966080,59,1,3866624,59,1,3866624,60,1,3932160,57,1,3735552,59,2,1933312,58,1,3801088,56,1,3670016,45,2,1474560,4062,1953969,53,35,1668,4:31,1276,0,0,7,FAIL,866,665,1143,FAIL,FAIL
3,5,16:1,65536,4096,straight,3a024422,196608,63,63,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,3,1,196608,0,0,,165,3460632,93,0,1788,49:32,1788,0,0,7,FAIL,910,514,927,FAIL,FAIL
3,5,16:1,65536,4096,distributed,c38d20a6,4063232,63,6,61,2,1998848,63,1,4128768,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,63,1,4128768,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,64,1,4194304,62,1,4063232,58,1,3801088,4045,2101030,56,28,1765,57:32,1765,0,0,7,FAIL,910,514,927,FAIL,FAIL
3,5,16:1,65536,4096,detour,5c55bc84,4194304,63,6,61,1,3997696,63,1,4128768,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,63,1,4128768,59,1,3866624,4032,2062493,55,28,1668,4:31,1284,0,0,7,FAIL,910,514,927,FAIL,FAIL
3,9,4:1,65536,16384,straight,a446110b,196608,63,63,3,1,196608,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,0,0,,278,3459294,93,0,1704,49:32,1704,0,0,5,FAIL,966,622,722,FAIL,FAIL
3,9,4:1,65536,16384,distributed,97a571db,1802240,7,6,52,2,1703936,57,1,3735552,60,1,3932160,59,1,3866624,60,1,3932160,58,1,3801088,56,2,1835008,55,1,3604480,53,2,1736704,53,3,1157802,54,1,3538944,54,1,3538944,54,2,1769472,50,3,1092266,27,3,589824,4052,2081000,56,31,1728,57:32,1728,0,0,5,FAIL,966,622,722,FAIL,FAIL
