sinkWidth,ratio,advectionWeight,diffusionWeight,inputName,stateHash,coherenceLength,coherenceLengthSigma,bandCellsX4,segmentCountX4,meanSegmentWidthX4,bandCellsX8,segmentCountX8,meanSegmentWidthX8,bandCellsX12,segmentCountX12,meanSegmentWidthX12,bandCellsX16,segmentCountX16,meanSegmentWidthX16,bandCellsX20,segmentCountX20,meanSegmentWidthX20,bandCellsX24,segmentCountX24,meanSegmentWidthX24,bandCellsX28,segmentCountX28,meanSegmentWidthX28,bandCellsX32,segmentCountX32,meanSegmentWidthX32,bandCellsX36,segmentCountX36,meanSegmentWidthX36,bandCellsX40,segmentCountX40,meanSegmentWidthX40,bandCellsX44,segmentCountX44,meanSegmentWidthX44,bandCellsX48,segmentCountX48,meanSegmentWidthX48,bandCellsX52,segmentCountX52,meanSegmentWidthX52,bandCellsX56,segmentCountX56,meanSegmentWidthX56,bandCellsX60,segmentCountX60,meanSegmentWidthX60,occupiedPeak,totalCompleted,completionRatio,outOfFieldRatio,densityMax,densityMaxCell,densityMaxExSource,maxStagnation,backflowEvents,criterion2PassCount,criterion2,criterion3Median1TwiceBasisPoints,criterion3Median3TwiceBasisPoints,criterion3Median10TwiceBasisPoints,criterion3,criterion4
3,64:1,65536,1024,straight,e08de342,4,4,37,1,2424832,41,1,2686976,42,1,2752512,37,1,2424832,29,1,1900544,22,1,1441792,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,6,1,393216,13,1,851968,1150,1850779,50,41,824,58:31,824,0,0,1,FAIL,1526,396,636,FAIL,FAIL
3,64:1,65536,1024,distributed,ac685e40,4,4,63,1,4128768,64,1,4194304,64,1,4194304,64,1,4194304,63,2,2064384,57,3,1245184,48,3,1048576,33,3,720896,18,6,196608,20,3,436906,44,3,961194,55,1,3604480,51,1,3342336,45,1,2949120,33,2,1081344,3052,1347994,36,46,880,57:32,880,0,0,1,FAIL,1526,396,636,FAIL,FAIL
3,64:1,65536,1024,detour,91f2bbca,4,4,57,1,3735552,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,58,1,3801088,48,2,1572864,31,2,1015808,23,2,753664,33,1,2162688,36,1,2359296,37,1,2424832,34,1,2228224,27,1,1769472,2974,1337138,36,45,855,4:29,817,0,0,1,FAIL,1526,396,636,FAIL,FAIL
5,4:1,65536,16384,straight,f5415ce9,4,4,60,1,3932160,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,62,1,4063232,61,1,3997696,61,1,3997696,62,1,4063232,60,1,3932160,61,1,3997696,61,1,3997696,60,1,3932160,58,1,3801088,45,2,1474560,3999,2149378,58,34,752,58:31,752,0,0,0,FAIL,2589,1596,2090,FAIL,FAIL
5,4:1,65536,16384,distributed,345b952a,4,4,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,63,1,4128768,62,1,4063232,62,1,4063232,61,1,3997696,62,1,4063232,61,1,3997696,61,1,3997696,60,1,3932160,4071,906869,24,66,824,4:36,730,0,0,0,FAIL,2589,1596,2090,FAIL,FAIL
5,4:1,65536,16384,detour,8ab2de01,4,4,62,1,4063232,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,63,1,4128768,64,1,4194304,62,1,4063232,63,1,4128768,62,1,4063232,62,1,4063232,62,1,4063232,59,1,3866624,4069,1146015,31,59,760,4:29,664,0,0,0,FAIL,2589,1596,2090,FAIL,FAIL
5,16:1,65536,4096,straight,593b3796,4,4,61,1,3997696,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,59,1,3866624,52,1,3407872,44,1,2883584,30,2,983040,5,1,327680,5,1,327680,0,0,,2977,2191576,59,31,764,58:31,764,0,0,0,FAIL,2405,1574,2112,FAIL,FAIL
5,16:1,65536,4096,distributed,29d8f55f,4,4,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,60,1,3932160,4055,1003991,27,60,825,4:36,759,0,0,0,FAIL,2405,1574,2112,FAIL,FAIL
5,16:1,65536,4096,detour,5e70eb9e,4,4,63,1,4128768,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,64,1,4194304,58,1,3801088,4037,1265407,34,53,769,4:29,700,0,0,0,FAIL,2405,1574,2112,FAIL,FAIL
5,64:1,65536,1024,straight,8d68fa71,4,4,37,1,2424832,41,1,2686976,42,1,2752512,37,1,2424832,29,1,1900544,22,1,1441792,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,5,1,327680,0,0,,1071,2339091,63,28,824,58:31,824,0,0,1,FAIL,1479,591,1081,FAIL,FAIL
5,64:1,65536,1024,distributed,a22877d8,4,4,63,1,4128768,64,1,4194304,64,1,4194304,64,1,4194304,63,2,2064384,57,3,1245184,48,3,1048576,33,3,720896,18,6,196608,20,3,436906,43,3,939349,55,1,3604480,52,1,3407872,45,1,2949120,31,2,1015808,3033,1478013,40,42,884,57:32,884,0,0,1,FAIL,1479,591,1081,FAIL,FAIL
